section,brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Atomic,Dreamraider,MODEL_NEW_CANDIDATE,yes,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,brand confirmed; model not in catalog. Sourced BT 08/09 (MY2009). Human verify.
mens,Burton,Un Inc,MODEL_NEW_CANDIDATE,yes,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,brand confirmed; model not in catalog. Sourced BT 08/09 (MY2009). Human verify.
mens,Volkl,Squad Prime,MODEL_NEW_CANDIDATE,yes,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,brand confirmed; distinct model NOT in catalog. Human verify.
mens,Rossignol,RPM,MODEL_NEW_CANDIDATE,yes,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,brand confirmed; model not in catalog. Sourced BT 08/09 (MY2009). Human verify.
mens,FTWO,Real,BRAND_NEW,no,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models. Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Respect,BRAND_NEW,no,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models. Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Random,BRAND_NEW,no,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models. Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Sonic,BRAND_NEW,no,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models. Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Code,BRAND_NEW,no,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models. Add as its own brand, NOT under F2. Human verify."
mens,FTWO,Flush,BRAND_NEW,no,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models. Add as its own brand, NOT under F2. Human verify."
mens,FTWO,TNT,BRAND_NEW,no,2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,"FTWO (F.TWO) = separate German brand carrying F2's former freestyle models. Add as its own brand, NOT under F2. Human verify."
mens,Icon,Heppu Pentti Signature,MODEL_NEW_CANDIDATE,yes (zero-models),2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,zero-model brand; new model sourced BT 08/09 (MY2009). Human verify.
mens,Icon,Asgard,MODEL_NEW_CANDIDATE,yes (zero-models),2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,zero-model brand; new model sourced BT 08/09 (MY2009). Human verify.
mens,Icon,Revival,MODEL_NEW_CANDIDATE,yes (zero-models),2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,zero-model brand; new model sourced BT 08/09 (MY2009). Human verify.
mens,Icon,DS,MODEL_NEW_CANDIDATE,yes (zero-models),2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,zero-model brand; new model sourced BT 08/09 (MY2009). Human verify.
mens,Icon,Wallpaper,MODEL_NEW_CANDIDATE,yes (zero-models),2008/09,2009,blue-tomato-snowboardkatalog0809,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog0809,zero-model brand; new model sourced BT 08/09 (MY2009). Human verify.
