brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
Atlantis,Classic DF,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Capita,Scott Stevens Pro,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Chamonix,Jesse Paul Pro Model,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Chamonix,Cornu,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Chamonix,Scavenger Hunt,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Chamonix,Route,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
DC,EMB,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
DC,The 156,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Evol,Mike Skiba Promodel,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Evol,Spacerace,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Evol,Deadstock,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Evol,Vessel,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
GNU,RCC3,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Korua,Uber Egg,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Korua,Cafe Racer Plus,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Korua,Transition Finder,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Korua,Dart,BRAND_NEW,no,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand absent from catalog (boutique/newer US-international brand)
Lib Tech,BRD,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Lib Tech,Box Knife,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Nidecker,Ora,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Ride,Peaceseeker,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Ride,Psycocandy,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
Vimana,The Werni Stock,MODEL_NEW_CANDIDATE,yes (zero-models),2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,Vimana is a zero-model brand in catalog; new model sourced Method Vol 23 (MY2023). Human verify.
Vimana,The Continental Directional,MODEL_NEW_CANDIDATE,yes (zero-models),2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,Vimana is a zero-model brand in catalog; new model sourced Method Vol 23 (MY2023). Human verify.
Vimana,The Vufo,MODEL_NEW_CANDIDATE,yes (zero-models),2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,Vimana is a zero-model brand in catalog; new model sourced Method Vol 23 (MY2023). Human verify.
Vimana,The Ennitime,MODEL_NEW_CANDIDATE,yes (zero-models),2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,Vimana is a zero-model brand in catalog; new model sourced Method Vol 23 (MY2023). Human verify.
YES,PYL Uninc DCP,MODEL_NEW_CANDIDATE,yes,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,brand confirmed; model not in catalog. Sourced Method Vol 23 (MY2023). Human verify.
