brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
Bataleon,Goliath,Goliath,EXACT,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,
Bataleon,Disaster,Disaster,EXACT,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,
Capita,Spring Break Slush Slasher,Spring Break Slush Slasher,EXACT,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,
Capita,Kazu Kokubo Pro,Kazu Kokubo Pro,EXACT,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,
K2,Cool Bean,Cool Bean,EXACT,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,
K2,Party Platter,Party Platter,EXACT,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,
Lib Tech,Jamie Lynn Lost x Lib,Jamie Lynn,QUALIFIED,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,printed 'Jamie Lynn Lost x Lib' = catalog 'Jamie Lynn' + qualifier
Nitro,Quiver Treehugger,TØ,QUALIFIED,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,printed 'Quiver Treehugger' = catalog 'TØ' + qualifier
Nitro,Diablo,Diablo,EXACT,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,
Ride,The Timeless,Timeless,QUALIFIED,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,printed 'The Timeless' = catalog 'Timeless' + qualifier
Ride,Warpig,Warpig,EXACT,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,
Salomon,The Villain,Villain,QUALIFIED,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,printed 'The Villain' = catalog 'Villain' + qualifier
YES,Greats Un Inc,Greats,QUALIFIED,verified,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,printed 'Greats Un Inc' = catalog 'Greats' + qualifier
