section,brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Capita,The Black Snowboard of Death,Black Snowboard of Death,QUALIFIED,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,printed 'The Black Snowboard of Death' = catalog 'Black Snowboard of Death' + qualifier
mens,Capita,Charlie Slasher,Charlie Slasher,EXACT,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,
mens,Capita,Defenders of Awesome,Defenders of Awesome,EXACT,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,
mens,Capita,Indoor Survival,Indoor Survival,EXACT,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,
mens,Capita,Outdoor Living,Outdoor Living,EXACT,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,
mens,Capita,Horrorscope,Horrorscope,EXACT,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,
mens,Lib Tech,Skunk Ape Split,Skunk Ape,QUALIFIED,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,printed 'Skunk Ape Split' = catalog 'Skunk Ape' + qualifier
mens,Lib Tech,Skunk Ape,Skunk Ape,EXACT,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,
mens,Lib Tech,T-Rice,T.Rice Pro,QUALIFIED,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,printed 'T-Rice' = catalog 'T.Rice Pro' + qualifier
mens,Lib Tech,Banana Magic,Banana Magic,EXACT,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,
mens,Lib Tech,Attack Banana,Attack Banana,EXACT,verified,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,
