section,brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Capita,Spring Break Powder Hole,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Capita,Spring Break Tree Hunter,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Capita,Spring Break Powder Pill,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Lib Tech,T-Rice Split,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Lib Tech,Wingman,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Lib Tech,T-Rice Gold Member,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Lib Tech,Dark Knife,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Lib Tech,T-Rice Speedodeeps,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Lib Tech,Hot Knife,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,GNU,Eco Impossible,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,GNU,Space Case,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,GNU,Horror Business,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,GNU,Space Out,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,GNU,Smart Pickle,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,DC,Media Blitz,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,DC,Mega,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
mens,Head,Reveal Rocka,MODEL_NEW_CANDIDATE,yes,2015/16,2016,blue-tomato_snowboard_katalog_16,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog_16,brand confirmed; model not in catalog. Sourced BT 15/16 (MY2016). Human verify.
