section,brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Capita,Ultrafear,Ultrafear,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Capita,Defenders Of Awesome,Defenders of Awesome,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Capita,Horrorscope,Horrorscope,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Capita,Spring Break Slush Slasher,Spring Break Slush Slasher,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Capita,Indoor Survival,Indoor Survival,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Capita,Outerspace Living,Outerspace Living,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Volkl,Spade,Spade,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,K2,The Cool Bean,Cool Bean,QUALIFIED,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,printed 'The Cool Bean' = catalog 'Cool Bean' + qualifier
mens,Burton,Custom,Custom,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Burton,Custom X,Custom X,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Burton,Custom Twin,Twin,QUALIFIED,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,printed 'Custom Twin' = catalog 'Twin' + qualifier
mens,Burton,Custom Twin FV,Twin,QUALIFIED,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,printed 'Custom Twin FV' = catalog 'Twin' + qualifier
mens,Burton,Custom Flying V,Custom,QUALIFIED,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,printed 'Custom Flying V' = catalog 'Custom' + qualifier
mens,Burton,Process,Process,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Burton,Process FV,Process,QUALIFIED,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,printed 'Process FV' = catalog 'Process' + qualifier
mens,Burton,Process Off-Axis,Process,QUALIFIED,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,printed 'Process Off-Axis' = catalog 'Process' + qualifier
mens,Burton,Descendant,Descendant,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Burton,Landlord,Landlord,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Burton,Flight Attendant,Flight Attendant,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
mens,Burton,Blunt,Blunt,EXACT,verified,2016/17,2017,blue-tomato_snowboard_katalog1617,https://issuu.com/blue-tomato/docs/blue-tomato_snowboard_katalog1617,
