brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
Burton,Process FV,Process,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'Process FV' = catalog 'Process' + qualifier
Burton,Custom Flying V,Custom,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'Custom Flying V' = catalog 'Custom' + qualifier
Burton,Free Thinker,Free Thinker,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Burton,Custom X,Custom X,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Burton,Custom,Custom,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Burton,FT Mystery Fish,Fish,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'FT Mystery Fish' = catalog 'Fish' + qualifier
Burton,FT Speed Date,Speed Date,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'FT Speed Date' = catalog 'Speed Date' + qualifier
Burton,FT Stun Gun,Stun Gun,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'FT Stun Gun' = catalog 'Stun Gun' + qualifier
Burton,Kilroy Custom,Custom,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'Kilroy Custom' = catalog 'Custom' + qualifier
Burton,Kilroy Process,Kilroy,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'Kilroy Process' = catalog 'Kilroy' + qualifier
Burton,Flight Attendant,Flight Attendant,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Capita,Spring Break Slush Slasher,Spring Break Slush Slasher,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Capita,Indoor Survival,Indoor Survival,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Capita,Defenders Of Awesome,Defenders of Awesome,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Capita,The Outsiders,Outsiders,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'The Outsiders' = catalog 'Outsiders' + qualifier
Capita,Ultrafear,Ultrafear,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Capita,Horrorscope,Horrorscope,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Capita,Outerspace Living,Outerspace Living,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Capita,Kazu Kokubo Pro,Kazu Kokubo Pro,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Capita,The Black Snowboard Of Death,Black Snowboard of Death,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'The Black Snowboard Of Death' = catalog 'Black Snowboard of Death' + qualifier
Bataleon,Stallion,Stallion,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Bataleon,Boss,Boss,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Bataleon,Goliath,Goliath,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Bataleon,Global Warmer,Global Warmer,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Bataleon,Evil Twin,Evil Twin,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Bataleon,Goliath X BYNDXMDLS,Goliath,QUALIFIED,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,printed 'Goliath X BYNDXMDLS' = catalog 'Goliath' + qualifier
Bataleon,Whatever,Whatever,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
Bataleon,Wallie,Wallie,EXACT,verified,2018/19,2019,blue-tomato-snowboard-catalogue-201,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-catalogue-201,
