section,brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,page,price_eur,source_docId,source_url,caption,note
mens,Santa Cruz,TT Fusion,Fusion,QUALIFIED,verified,2005/06,2006,6,349.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Santa Cruz TT Fusion 154 05/06,printed 'TT Fusion' = catalog 'Fusion' + construction/edition/graphic qualifier
mens,Santa Cruz,Duo GLX,Duo,QUALIFIED,verified,2005/06,2006,6,629.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Santa Cruz Duo GLX 163 05/06,printed 'Duo GLX' = catalog 'Duo' + construction/edition/graphic qualifier
mens,Santa Cruz,Largo Dth Angel,Largo,QUALIFIED,verified,2005/06,2006,6,349.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Santa Cruz Largo Dth Angel 162 05/06,printed 'Largo Dth Angel' = catalog 'Largo' + construction/edition/graphic qualifier
mens,F2,Respect,Respect Split Board,QUALIFIED,verified,2005/06,2006,7,549.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,F2 Respect 168 05/06,printed 'Respect' = catalog 'Respect Split Board' + construction/edition/graphic qualifier
mens,Burton,T6,T6,EXACT,verified,2005/06,2006,8,689.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton T6 159 05/06,
mens,Burton,Jussi,Jussi,EXACT,verified,2005/06,2006,8,529.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Jussi 159 05/06,pro model: Jussi Oksanen
mens,Burton,Shaun White,Shaun White / TWC Pro,QUALIFIED,verified,2005/06,2006,8,529.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Shaun White 156 05/06,printed 'Shaun White' = catalog 'Shaun White / TWC Pro' + construction/edition/graphic qualifier
mens,Burton,Dominant,Dominant,EXACT,verified,2005/06,2006,8,379.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Dominant 156 05/06,
mens,Burton,Jeremy Jones,Jeremy Jones,EXACT,verified,2005/06,2006,8,529.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Jeremy Jones 156 05/06,pro model: Jeremy Jones (jib)
mens,Burton,Custom X,Custom X,EXACT,verified,2005/06,2006,9,649.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Custom 160 X 05/06,
mens,Burton,Baron,Baron,EXACT,verified,2005/06,2006,9,559.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Baron 167 05/06 wide,
mens,Burton,Custom,Custom,EXACT,verified,2005/06,2006,9,549.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Custom 158 05/06,
mens,Burton,Triumph,Triumph,EXACT,verified,2005/06,2006,9,499.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Triumph 164 05/06 mid wide,
mens,Burton,Bullet,Bullet,EXACT,verified,2005/06,2006,9,339.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Bullet 162 05/06 wide,
mens,Burton,Clash,Clash,EXACT,verified,2005/06,2006,9,329.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Clash 158 05/06,
mens,Burton,Cruzer,Cruzer,EXACT,verified,2005/06,2006,9,269.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Cruzer 155 05/06,
mens,Burton,Blunt,Blunt,EXACT,verified,2005/06,2006,9,349.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Burton Blunt 155 05/06,
mens,Atomic,Rapture,Rapture,EXACT,verified,2005/06,2006,10,499.9,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Atomic Rapture 156 05/06,
mens,Atomic,Alibi,Alibi,EXACT,verified,2005/06,2006,10,449.9,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Atomic Alibi 159 05/06,
mens,Atomic,Axum,Axum,EXACT,verified,2005/06,2006,11,399.9,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Atomic Axum 156 05/06,
mens,Atomic,Hatchet,Hatchet,EXACT,verified,2005/06,2006,11,329.9,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Atomic Hatchet 156 05/06,
mens,Atomic,Triarc,Triarc,EXACT,verified,2005/06,2006,11,349.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Atomic Triarc 163 Wide 05/06,
mens,Bataleon,Undisputed,Undisputed,EXACT,verified,2005/06,2006,12,649.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Bataleon Undisputed 168 05/06,
mens,Bataleon,Enemy,Enemy,EXACT,verified,2005/06,2006,12,599.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Bataleon Enemy 160 05/06,
mens,Bataleon,Hero,The Hero,QUALIFIED,verified,2005/06,2006,13,569.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Bataleon Hero 160 05/06,printed 'Hero' = catalog 'The Hero' + construction/edition/graphic qualifier
mens,Bataleon,Goliath,Goliath,EXACT,verified,2005/06,2006,13,499.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Bataleon Goliath 157 05/06,
mens,Bataleon,Evil Twin,Evil Twin,EXACT,verified,2005/06,2006,13,469.0,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Bataleon Evil Twin 155 05/06,
mens,Elan,Vertigo,Vertigo,EXACT,verified,2005/06,2006,14,499.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Elan Vertigo 162 05/06,
mens,Elan,Ascent,Ascent,EXACT,verified,2005/06,2006,14,449.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Elan Ascent 164 05/06,
mens,Elan,Endless,Endless,EXACT,verified,2005/06,2006,14,379.95,blue-tomato-snowboard-katalog0506,https://issuu.com/blue-tomato/docs/blue-tomato-snowboard-katalog0506,Elan Endless 161 05/06,
