brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
DC,Telegraph,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
DC,Media Blitz,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
The Degenerati,Model #1,BRAND_NEW,no,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand absent from catalog (boutique)
Korua,Cafe Racer,BRAND_NEW,no,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand absent from catalog (boutique)
GNU,Finsanity,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
GNU,Forest Bailey Space Case,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
Lib Tech,T.Rice Climax,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
Lobster,Halldor Helgason Pro,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
Lobster,Eiki Helgason Pro,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
Rome,Blur,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
Rome,Buckshot,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
Salomon,The Ultimate Ride,MODEL_NEW_CANDIDATE,yes,2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,brand confirmed; model not in catalog. Sourced Method 17.1 (MY2017). Human verify.
Vimana,The Clone,MODEL_NEW_CANDIDATE,yes (zero-models),2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,zero-model brand (Vimana); new model sourced Method 17.1 (MY2017). Human verify.
Vimana,The Ennitime,MODEL_NEW_CANDIDATE,yes (zero-models),2016/17 (17.1),2017,buyers_guide_17.1_issuu,https://issuu.com/method_magazine/docs/buyers_guide_17.1_issuu,zero-model brand (Vimana); new model sourced Method 17.1 (MY2017). Human verify.
