section,brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
mens,Burton,Seven,MODEL_NEW_CANDIDATE,yes,2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,brand confirmed; model not in catalog. Sourced BT 09/10 (MY2010). Human verify.
mens,Nitro,Eero Pro Model,MODEL_NEW_CANDIDATE,yes,2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,brand confirmed; model not in catalog. Sourced BT 09/10 (MY2010). Human verify.
mens,Nitro,Sub Zero,MODEL_NEW_CANDIDATE,yes,2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,brand confirmed; model not in catalog. Sourced BT 09/10 (MY2010). Human verify.
mens,Volkl,Squad Prime,MODEL_NEW_CANDIDATE,yes,2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,brand confirmed; distinct model NOT in catalog. Human verify.
mens,O-Matic,Sweet Hampus Mosesson,MODEL_NEW_CANDIDATE,yes (zero-models),2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,zero-model brand; new model sourced BT 09/10 (MY2010). Human verify.
mens,O-Matic,Awesome Todd Richards,MODEL_NEW_CANDIDATE,yes (zero-models),2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,zero-model brand; new model sourced BT 09/10 (MY2010). Human verify.
mens,O-Matic,Boron,MODEL_NEW_CANDIDATE,yes (zero-models),2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,zero-model brand; new model sourced BT 09/10 (MY2010). Human verify.
mens,O-Matic,Extr-Eco,MODEL_NEW_CANDIDATE,yes (zero-models),2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,zero-model brand; new model sourced BT 09/10 (MY2010). Human verify.
mens,Amplid,Fenom,MODEL_NEW_CANDIDATE,yes,2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,brand confirmed; model not in catalog. Sourced BT 09/10 (MY2010). Human verify.
mens,Amplid,Declaration,MODEL_NEW_CANDIDATE,yes,2009/10,2010,blue-tomato-snowboardkatalog_0910,https://issuu.com/blue-tomato/docs/blue-tomato-snowboardkatalog_0910,brand confirmed; model not in catalog. Sourced BT 09/10 (MY2010). Human verify.
