brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
Lib Tech,Rasman,MODEL_NEW_CANDIDATE,yes,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand confirmed; model not in catalog. Sourced Method 24/25 (MY2025). Human verify.
Ride,Algorhythm,MODEL_NEW_CANDIDATE,yes,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand confirmed; model not in catalog. Sourced Method 24/25 (MY2025). Human verify.
Salomon,HPS Sickstick,MODEL_NEW_CANDIDATE,yes,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand confirmed; model not in catalog. Sourced Method 24/25 (MY2025). Human verify.
Slash,Slash Splash,MODEL_NEW_CANDIDATE,yes,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand confirmed; model not in catalog. Sourced Method 24/25 (MY2025). Human verify.
Tur,Buteo,BRAND_NEW,no,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand absent from catalog (Tur Snowboards = Swedish boutique)
Tur,Pluv,BRAND_NEW,no,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand absent from catalog (Tur Snowboards = Swedish boutique)
Tur,Bubo,BRAND_NEW,no,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand absent from catalog (Tur Snowboards = Swedish boutique)
Tur,Korp S. Zebbe Landmark,BRAND_NEW,no,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand absent from catalog (Tur Snowboards = Swedish boutique)
Vimana,The Vufo,MODEL_NEW_CANDIDATE,yes (zero-models),2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,Vimana zero-model brand; new model sourced Method 24/25 (MY2025). Human verify.
Vimana,The Meta,MODEL_NEW_CANDIDATE,yes (zero-models),2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,Vimana zero-model brand; new model sourced Method 24/25 (MY2025). Human verify.
Vimana,Ennitime,MODEL_NEW_CANDIDATE,yes (zero-models),2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,Vimana zero-model brand; new model sourced Method 24/25 (MY2025). Human verify.
Vimana,The Motherbrain,MODEL_NEW_CANDIDATE,yes (zero-models),2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,Vimana zero-model brand; new model sourced Method 24/25 (MY2025). Human verify.
YES,Halldor XTRM,MODEL_NEW_CANDIDATE,yes,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand confirmed; model not in catalog. Sourced Method 24/25 (MY2025). Human verify.
YES,Fridge Master XTRM,MODEL_NEW_CANDIDATE,yes,2024/25 (Vol 24/25),2025,method_vol_25-buyersguide-single_pages,https://issuu.com/method_magazine/docs/method_vol_25-buyersguide-single_pages,brand confirmed; model not in catalog. Sourced Method 24/25 (MY2025). Human verify.
