brand,model_ocr,catalog_model_name,match_type,confidence,catalog_season,catalog_model_year,source_docId,source_url,note
Atlantis,Riksgransen,Riksgränsen 149,QUALIFIED,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,printed 'Riksgransen' = catalog 'Riksgränsen 149' + edition/size/graphic qualifier
Atlantis,Nera,Nera 156,QUALIFIED,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,printed 'Nera' = catalog 'Nera 156' + edition/size/graphic qualifier
Bataleon,Goliath,Goliath,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Bataleon,Party Wave Twin,Party Wave,QUALIFIED,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,printed 'Party Wave Twin' = catalog 'Party Wave' + edition/size/graphic qualifier
Bataleon,Push Up,Push Up,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Bataleon,Cruiser,Cruiser,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Burton,Family Tree Hometown Hero,Hero,QUALIFIED,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,printed 'Family Tree Hometown Hero' = catalog 'Hero' + edition/size/graphic qualifier
Burton,Talent Scout,Talent Scout,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Burton,Custom,Custom,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Burton,Blossom,Blossom,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Capita,Defenders of Awesome,Defenders of Awesome,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Capita,Birds of a Feather,Birds of a Feather,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Capita,Slush Slasher,SB SLUSH SLASHERS,QUALIFIED,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,printed 'Slush Slasher' = catalog 'SB SLUSH SLASHERS' + edition/size/graphic qualifier
DC,PLY,Ply,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
DC,PBJ,PBJ,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Drake,Team,TEAM,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Drake,Battle Rusty,BATTLE RUSTY,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Drake,Tao of Drake,TAO OF DRAKE,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Drake,DFL Pro,DFL PRO,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
GNU,Pro Choice,Pro Choice,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
GNU,4x4 Forest Bailey,4,QUALIFIED,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,printed '4x4 Forest Bailey' = catalog '4' + edition/size/graphic qualifier
GNU,Essential Service,Essential Service,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Jones,Tweaker,Tweaker,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Jones,Aviator 2.0,Aviator 2.0,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Jones,Stratos,Stratos,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
Jones,Airheart 2.0,Airheart 2.0,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
K2,Alchemist,Alchemist,EXACT,verified,2022/23 (Vol 23),2023,methodmag_23-product_guide-lo,https://issuu.com/method_magazine/docs/methodmag_23-product_guide-lo,
