edition_id,discipline,division,division_label,event_name,place,rider_name,nationality,score_or_time,notes,sources,confidence,source_file
mt-baker-legendary-banked-slalom--2008,banked-slalom,am,Amateur Men Ages 16-29 (ages 20-29 from 1994-2020),,1,Matthew Berglund,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,am,Women Amateurs Ages 16-29,,1,Danielle Davis,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,groms,Next Gen Ages 11 & Under,,1,Nick Wittrock,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,juniors,Younger Amateurs Ages 16-19,,1,Trevor Schy,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,juniors,Juniors Ages 12-15,,1,Harry Kearney,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,masters,Pro Men Masters Ages 40-49,,1,Jason Troth,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,masters,Masters Men Ages 30-39,,1,Marcel Dolak,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,masters,Masters Women Ages 30-39 (ages 30-44 from 1993-2020),,1,Amy Eichner,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,masters,Mid Masters Men Ages 40-49,,1,Dave Wray,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
mt-baker-legendary-banked-slalom--2008,banked-slalom,masters,Grand Masters Men Ages 50+,,1,Kevin Boyce,,,,https://lbs.mtbaker.us/results/honor-roll/,verified,wave2-baker-grassroots
