model_id,brand_id,brand_name,model_name,first_year,year_basis,last_year,year_note,category,pro_rider,series_or_family,confidence,notes,sources
aggression--tr60,aggression,Aggression,TR60,1992,introduced,1993,,freestyle,,,verified,'Tarquin TR 60' in the Oct 1992 guide; Boulder-built.,https://retrosnow.com/shop/aggression/92-aggression/aggression-tr60/ | https://archive.org/details/tws-89-93
aggression--assault,aggression,Aggression,Assault,1993,introduced,1993,TWS buyer's guide issue dated Oct of the prior calendar year (Oct 1989 issue = model year 1990).,freestyle,,,likely,,https://archive.org/details/tws-89-93
aggression--stealth,aggression,Aggression,Stealth,1993,introduced,1993,TWS buyer's guide issue dated Oct of the prior calendar year (Oct 1989 issue = model year 1990).,alpine,,,likely,Stealth 165 (Oct 1992 guide).,https://archive.org/details/tws-89-93
airwalk--a-1,airwalk,Airwalk,A-1,2000,introduced,2000,,all-mountain,,,likely,"Snowboard Life Top 25, 1999/2000.",https://www.snowboarder.com/news/snowboard-lifes-top-25-board-test-2000 | https://www.snowboarder.com/news/board-test-board-specs
amplid--singular,amplid,Amplid,Singular,2023,earliest_sourced,2027,"Send It DB lists this model as early as 2023; our 2024 is a catalog ""new for"" date. Needs review. Earlier ""introduced"" year of 2024 was a v0.1 default rather than a catalog claim; first_year set to 2023 on Send It DB evidence, basis earliest_sourced.",all-mountain,,Singular Series,verified,,https://thegoodride.com/snowboard-reviews/?brand=jones | https://www.amplid.com/collections/snowboards | https://www.senditdb.com/brands/amplid
amplid--snommelier,amplid,Amplid,Snommelier,2020,earliest_sourced,2027,"Send It DB lists this model as early as 2020; our 2024 is a catalog ""new for"" date. Needs review. Earlier ""introduced"" year of 2024 was a v0.1 default rather than a catalog claim; first_year set to 2020 on Send It DB evidence, basis earliest_sourced.",freeride,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-snommelier-snowboard-review/ | https://www.senditdb.com/brands/amplid
amplid--soulmate,amplid,Amplid,Soulmate,2024,introduced,2027,,freeride,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-soulmate-snowboard-review/ | https://www.amplid.com/collections/snowboards | https://www.senditdb.com/brands/amplid
amplid--souly-grail,amplid,Amplid,Souly Grail,2022,earliest_sourced,2027,"Send It DB lists this model as early as 2022; our 2024 is a catalog ""new for"" date. Needs review. Earlier ""introduced"" year of 2024 was a v0.1 default rather than a catalog claim; first_year set to 2022 on Send It DB evidence, basis earliest_sourced.",freeride,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-souly-grail-snowboard-review/ | https://www.amplid.com/collections/snowboards | https://www.senditdb.com/brands/amplid
amplid--surfari,amplid,Amplid,Surfari,2018,earliest_sourced,2027,"Redesigned 2027; earlier 2025 version noted Send It DB lists this model as early as 2018; our 2025 is a catalog ""new for"" date. Needs review. Earlier ""introduced"" year of 2025 was a v0.1 default rather than a catalog claim; first_year set to 2018 on Send It DB evidence, basis earliest_sourced.",powder,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-surfari-snowboard-review/ | https://www.amplid.com/collections/snowboards | https://www.senditdb.com/brands/amplid
amplid--time-machine,amplid,Amplid,Time Machine,2026,introduced,2027,,all-mountain,,,verified,,https://thegoodride.com/snowboard-reviews/amplid-time-machine-snowboard-review/ | https://www.amplid.com/collections/snowboards | https://www.senditdb.com/brands/amplid
amplid--milligram,amplid,Amplid,Milligram,,unknown,2027,Milligram Split in current lineup; carbon split awarded 2015,splitboard,,,verified,,https://www.amplid.com/collections/snowboards | https://splitboard.com/amplids-carbon-split-awarded-most-innovative-by-splitboard-magazine-for-2015/ | https://www.senditdb.com/brands/amplid
arbor--heritage,arbor,Arbor,Heritage,1999,earliest_sourced,2007,Listed on brand site (Wayback) for MY2001; slug pages continue to 200610 (MY2007),unknown,,,verified,"Listed as a board line on the Oct 2000 snowboard selector (MY2001); site slugs 'heritage', 'heritage_03', 'h' run through 200610. First year widened to 1999 from Send It DB (was 2001).",https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html | https://web.archive.org/web/200610/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor
arbor--signature,arbor,Arbor,Signature,2001,earliest_sourced,2001,Listed on brand site (Wayback) for MY2001,unknown,,,verified,Listed as a board line on the Oct 2000 snowboard selector (MY2001); site slug 'signature'.,https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html
arbor--woodie,arbor,Arbor,Woodie,2001,earliest_sourced,2007,Listed on brand site (Wayback) for MY2001; slug pages continue to 200610 (MY2007),unknown,,,verified,"Listed as a board line on the Oct 2000 snowboard selector (MY2001); site slugs 'woodie', 'woodie_03', 'w' run through 200610. Wood-topsheet line.",https://web.archive.org/web/20001018175925/http://www.arborsports.com/sitefiles/boards/snowboards_select.html | https://web.archive.org/web/200610/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor
arbor--progression,arbor,Arbor,Progression,2001,earliest_sourced,2014,Seen on brand site (Wayback) 200111-200610; may predate,unknown,,,verified,Site slug 'progression_board / progression_03 / p'. First year widened to 2001 from Send It DB (was 2002). Confirmed in the Arbor 2014 catalog (primary source).,https://web.archive.org/web/200111/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--cross,arbor,Arbor,Cross,2003,earliest_sourced,2004,Seen on brand site (Wayback) 200210-200311; may predate,unknown,,,likely,Site slug 'cross_03 / c'.,https://web.archive.org/web/200210/http://www.arborsports.com/ | https://web.archive.org/web/200311/http://www.arborsports.com/
arbor--mystic,arbor,Arbor,Mystic,2003,earliest_sourced,2014,Confirmed in SnowDB catalog archive for model years 2008-2008 (archive covers 2008-2012 only; run may extend outside that window). | Seen on brand site (Wayback) 200210-200610; may predate,unknown,,,verified,Site slug 'mystic_03 / m / mystic_04 / mystic / 05_mystic'. Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://web.archive.org/web/200210/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--s-series,arbor,Arbor,S Series,2002,earliest_sourced,2007,Seen on brand site (Wayback) 200302-200610; may predate,unknown,,,verified,Site slug 'ss / sseries_03'. First year widened to 2002 from Send It DB (was 2003).,https://web.archive.org/web/200302/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor
arbor--a-frame,arbor,Arbor,A-Frame,2004,earliest_sourced,2027,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced (Good Ride 2027 review); A-Frame is a long-running model | Seen on brand site (Wayback) 200309-200701; may predate",freeride,,,verified,Arbor's long-running directional freeride board with wood topsheet; in 2027 line. | Site slug 'aframe_04 / aframe / 05_aframe'. Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://thegoodride.com/snowboard-reviews/?brand=jones | https://web.archive.org/web/200309/http://www.arborsports.com/ | https://web.archive.org/web/200701/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--crossbow,arbor,Arbor,Crossbow,2003,earliest_sourced,2009,Confirmed in SnowDB catalog archive for model years 2008-2009 (archive covers 2008-2012 only; run may extend outside that window). | Seen on brand site (Wayback) 200309-200610; may predate,unknown,,,verified,Site slug 'crossbow_04 / crossbow / 05_crossbow'. First year widened to 2003 from Send It DB (was 2004).,https://www.snowdb.com/catalog/arbor | https://web.archive.org/web/200309/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor
arbor--draft,arbor,Arbor,Draft,2004,earliest_sourced,2027,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced | Seen on brand site (Wayback) 200308-200610; may predate",freestyle,,,verified,Park board; in 2026-27 line. | Site slug 'draft_04 / draft / 05_draft'.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200308/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor
arbor--element,arbor,Arbor,Element,2004,earliest_sourced,2027,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced 2026; Element is a long-running Arbor model | Seen on brand site (Wayback) 200308-200701; may predate",all-mountain,,,verified,Element / Element RX / CX; Element and Element Decon in 2026-27. | Decon variant. | Site slug 'element_04 / element / 05_element'. Element Wide page (slug 'element_wide') 200411-200701 folded in as a width variant.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200308/http://www.arborsports.com/ | https://web.archive.org/web/200701/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor
arbor--formula,arbor,Arbor,Formula,2004,earliest_sourced,2027,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced | Seen on brand site (Wayback) 200310-200610; may predate",all-mountain,,,verified,Formula and Formula Decon in 2026-27. | Decon variant. | Site slug 'formula / formula_04 / 05_formula'.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://web.archive.org/web/200310/http://www.arborsports.com/ | https://web.archive.org/web/200610/http://www.arborsports.com/ | https://www.senditdb.com/brands/arbor
arbor--abacus,arbor,Arbor,Abacus,2006,earliest_sourced,2016,Confirmed in SnowDB catalog archive for model years 2008-2011 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,First year widened to 2006 from Send It DB (was 2008).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor
arbor--alt,arbor,Arbor,Alt,2008,earliest_sourced,2008,Confirmed in SnowDB catalog archive for model years 2008-2008 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor
arbor--cadence,arbor,Arbor,Cadence,2008,earliest_sourced,2027,"Earliest confirmed appearance 2008 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced",all-mountain,,,verified,Women's; in 2026-27 line. | Women's.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--push,arbor,Arbor,Push,2006,earliest_sourced,2013,Confirmed in SnowDB catalog archive for model years 2008-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,First year widened to 2006 from Send It DB (was 2008).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor
arbor--roundhouse,arbor,Arbor,Roundhouse,2006,earliest_sourced,2015,Confirmed in SnowDB catalog archive for model years 2008-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,Roundhouse RX/CX 2012. First year widened to 2006 from Send It DB (was 2008). Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--wasteland,arbor,Arbor,Wasteland,2008,earliest_sourced,2024,Confirmed in SnowDB catalog archive for model years 2008-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--westmark,arbor,Arbor,Westmark,2007,earliest_sourced,2025,Confirmed in SnowDB catalog archive for model years 2008-2012 (archive covers 2008-2012 only; run may extend outside that window).,freestyle,,,verified,First year widened to 2007 from Send It DB (was 2008). Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--coda,arbor,Arbor,Coda,2009,earliest_sourced,2027,"Earliest confirmed appearance 2009 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced; Carbon Coda variant",all-mountain,,,verified,Coda and Carbon Coda in 2027.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--del-rey,arbor,Arbor,Del Rey,2009,earliest_sourced,2014,Confirmed in SnowDB catalog archive for model years 2009-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--eden,arbor,Arbor,Eden,2009,earliest_sourced,2011,Confirmed in SnowDB catalog archive for model years 2009-2011 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor
arbor--nightrain,arbor,Arbor,Nightrain,2010,earliest_sourced,2011,Confirmed in SnowDB catalog archive for model years 2010-2011 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor
arbor--blacklist,arbor,Arbor,Blacklist,2012,earliest_sourced,2014,Confirmed in SnowDB catalog archive for model years 2012-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--poparazzi,arbor,Arbor,Poparazzi,2012,earliest_sourced,2023,Confirmed in SnowDB catalog archive for model years 2012-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--relapse,arbor,Arbor,Relapse,2012,earliest_sourced,2025,Confirmed in SnowDB catalog archive for model years 2012-2012 (archive covers 2008-2012 only; run may extend outside that window).,unknown,,,verified,Confirmed in the Arbor 2014 catalog (primary source).,https://www.snowdb.com/catalog/arbor | https://www.senditdb.com/brands/arbor | https://web.archive.org/web/20141205185420id_/http://arborcollective.com/cms/wp-content/uploads/2014/03/2014_ARBOR_SNOWCATALOG.pdf
arbor--swoon,arbor,Arbor,Swoon,2012,earliest_sourced,2027,"Earliest confirmed appearance 2012 (SnowDB catalog archive covers 2008-2012 only); in current lineup, so last_year null. | Earliest sourced",all-mountain,,,verified,Women's; Swoon and Swoon Decon 2027. | Women's.,https://www.snowdb.com/catalog/arbor | https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--rain,arbor,Arbor,Rain,2025,earliest_sourced,2027,Earliest confirmed 2026 (evo listing); still in production.,unknown,,,verified,First year widened to 2025 from Send It DB (was 2026).,https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--astrowaste,arbor,Arbor,Astrowaste,2027,earliest_sourced,2027,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,verified,,https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--bryan-iguchi-pro,arbor,Arbor,Bryan Iguchi Pro,2017,earliest_sourced,2027,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced; long-running pro model,freeride,Bryan Iguchi,,verified,First year widened to 2017 from Send It DB (was 2027).,https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--danny-kass-park-pro,arbor,Arbor,Danny Kass Park Pro,2026,earliest_sourced,2027,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,freestyle,Danny Kass,,verified,First year widened to 2026 from Send It DB (was 2027).,https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--el-camino,arbor,Arbor,El Camino,2026,earliest_sourced,2027,Earliest confirmed 2027 (evo listing); still in production. | Earliest sourced,all-mountain,,,verified,First year widened to 2026 from Send It DB (was 2027).,https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--kuro-neko,arbor,Arbor,Kuro Neko,2026,earliest_sourced,2027,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,verified,Women's model. First year widened to 2026 from Send It DB (was 2027).,https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--madre,arbor,Arbor,Madre,2026,earliest_sourced,2027,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,verified,Women's model. First year widened to 2026 from Send It DB (was 2027).,https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
arbor--mantra,arbor,Arbor,Mantra,2024,earliest_sourced,2027,Earliest confirmed 2027 (evo listing); still in production.,unknown,,,verified,Women's model. First year widened to 2024 from Send It DB (was 2027).,https://www.evo.com/shop/snowboard/snowboards/arbor | https://www.senditdb.com/brands/arbor
